都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典,入院患者フェーズ,入院患者病床使用率,入院患者即応病床数,重症者フェーズ,重症患者病床使用率,重症患者即応病床数,宿泊療養フェーズ,宿泊療養施設居室使用率,宿泊療養施設施設居室
44,大分県,2,2,258,300,0,35,35,0,65,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
45,宮崎県,3,3,106,231,0,21,21,0,150,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
46,鹿児島県,1,1,253,253,0,48,48,0,188,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
47,沖縄県,8,8,225,430,4,33,37,0,262,0,0,0,2020-05-21,https://www.mhlw.go.jp/content/10900000/000633020.pdf,,,,,,,,,
01,北海道,227,186,700,1558,12,100,132,11,930,5,25,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
02,青森県,2,2,128,225,0,29,34,0,30,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
03,岩手県,0,0,93,166,0,28,28,0,85,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
04,宮城県,1,1,388,400,0,57,60,0,200,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
06,山形県,3,3,150,150,1,16,16,0,203,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
07,福島県,9,7,229,800,0,15,20,2,300,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
08,茨城県,16,12,151,1000,2,30,50,0,175,4,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
09,栃木県,19,18,271,271,3,41,41,0,111,1,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
10,群馬県,16,16,170,280,1,23,50,0,150,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
11,埼玉県,82,71,602,602,6,60,60,8,1055,3,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
12,千葉県,80,51,819,1700,6,82,300,8,666,19,2,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
13,東京都,499,424,3300,4000,33,400,700,25,2865,38,2,10,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
14,神奈川県,246,141,1346,2800,27,89,300,40,2395,65,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
15,新潟県,7,5,411,766,0,112,112,2,50,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
16,富山県,24,21,500,500,0,20,20,1,100,2,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
17,石川県,61,56,233,520,3,30,40,5,340,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
18,福井県,5,5,176,350,1,19,19,0,115,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
19,山梨県,2,1,80,400,0,13,50,1,21,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
20,長野県,10,10,300,300,1,33,33,0,200,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
21,岐阜県,3,3,353,458,1,48,118,0,366,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
22,静岡県,3,3,200,400,1,20,20,0,155,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
23,愛知県,18,15,500,1500,0,28,400,0,1300,3,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
24,三重県,3,3,175,175,0,33,33,0,64,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
25,滋賀県,10,9,259,570,1,50,50,1,62,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
26,京都府,21,19,264,400,2,80,80,2,338,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
27,大阪府,199,155,1179,3000,23,188,300,37,1565,7,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
28,兵庫県,41,34,515,515,6,71,71,7,578,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
29,奈良県,5,3,318,500,0,18,25,2,108,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
30,和歌山県,6,6,124,160,0,32,32,0,－,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
32,島根県,4,4,253,253,1,30,46,0,45,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
33,岡山県,0,0,117,300,0,11,57,0,78,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
34,広島県,17,5,266,270,0,35,35,4,130,0,8,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
35,山口県,2,2,384,384,1,102,102,0,594,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
38,愛媛県,30,23,203,203,1,15,43,7,67,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
39,高知県,1,1,166,200,0,16,50,0,16,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
40,福岡県,42,33,490,1800,6,60,300,3,826,5,1,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
41,佐賀県,10,7,146,232,0,32,47,3,230,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
42,長崎県,0,0,307,903,0,21,29,0,6,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
43,熊本県,7,7,378,400,0,48,48,0,1366,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
44,大分県,2,2,258,300,0,35,35,0,65,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
46,鹿児島県,0,0,253,253,0,48,48,0,188,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
47,沖縄県,5,5,225,430,4,33,37,0,262,0,0,0,2020-05-27,https://www.mhlw.go.jp/content/10900000/000635319.pdf,,,,,,,,,
01,北海道,191,159,700,1558,10,100,132,9,930,4,19,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
02,青森県,0,0,128,225,0,29,34,0,30,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
03,岩手県,0,0,93,166,0,28,28,0,85,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
04,宮城県,0,0,388,400,0,57,60,0,200,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
06,山形県,3,3,150,150,1,16,16,0,188,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
07,福島県,6,6,229,800,0,15,20,0,300,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
08,茨城県,12,10,151,1000,1,30,50,0,34,2,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
09,栃木県,14,12,271,271,0,41,41,1,111,1,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
10,群馬県,9,9,170,280,1,23,50,0,150,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
11,埼玉県,50,46,602,602,4,60,60,3,1055,1,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
12,千葉県,38,29,819,1700,4,82,300,0,736,9,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
13,東京都,366,319,3300,4000,27,400,700,24,2865,18,0,5,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
14,神奈川県,164,109,2018,2800,19,169,300,23,2395,32,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
16,富山県,10,10,500,500,0,20,20,0,100,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
17,石川県,46,41,233,520,2,30,40,5,340,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
18,福井県,2,2,176,350,1,19,19,0,115,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
19,山梨県,4,4,80,400,0,13,50,0,21,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
20,長野県,5,5,300,300,0,33,33,0,200,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
21,岐阜県,4,4,351,458,1,48,118,0,366,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
22,静岡県,3,3,200,400,0,20,20,0,155,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
23,愛知県,12,10,500,1500,0,28,400,0,1300,2,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
24,三重県,0,0,176,176,0,33,33,0,64,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
25,滋賀県,8,8,278,570,1,50,50,0,62,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
26,京都府,10,10,264,400,1,80,80,0,338,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
27,大阪府,97,82,1203,3000,15,188,300,12,1565,3,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
28,兵庫県,21,18,515,515,4,71,71,3,578,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
29,奈良県,2,2,415,500,0,23,25,0,108,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
30,和歌山県,3,3,150,160,0,32,32,0,137,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
32,島根県,1,1,253,253,1,30,46,0,45,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
33,岡山県,0,0,140,300,0,11,57,0,78,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
34,広島県,7,3,266,270,0,35,35,0,130,0,4,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
35,山口県,1,1,384,384,1,102,102,0,594,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
38,愛媛県,24,22,203,203,1,15,43,2,67,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
39,高知県,0,0,166,200,0,16,50,0,16,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
40,福岡県,125,78,490,1800,5,60,300,23,826,6,0,18,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
42,長崎県,0,0,307,903,0,21,29,0,6,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
43,熊本県,1,1,378,400,0,48,48,0,1430,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
44,大分県,2,2,258,300,0,35,35,0,65,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
46,鹿児島県,0,0,253,253,0,48,48,0,188,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
47,沖縄県,2,2,225,430,1,33,37,0,262,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf,,,,,,,,,
01,北海道,135,111,700,1558,11,100,132,13,930,1,10,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
02,青森県,0,0,128,225,0,29,34,0,30,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
04,宮城県,2,1,388,400,0,57,60,1,200,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
06,山形県,2,2,150,150,1,16,16,0,188,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
07,福島県,3,3,229,800,0,15,20,0,300,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
08,茨城県,7,7,151,1000,1,30,50,0,34,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
09,栃木県,4,4,271,271,0,41,41,0,111,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
10,群馬県,7,7,170,280,1,23,50,0,150,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
11,埼玉県,28,26,602,602,5,60,60,1,1055,1,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
12,千葉県,23,20,819,1700,4,82,300,1,736,2,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
13,東京都,339,271,3300,4000,23,400,700,48,2865,13,0,7,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
14,神奈川県,124,87,2040,2800,15,172,300,16,2431,21,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
16,富山県,4,4,500,500,0,20,20,0,100,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
17,石川県,33,33,233,520,2,30,40,0,340,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
18,福井県,1,1,176,350,1,19,19,0,115,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
19,山梨県,3,3,80,400,0,13,50,0,21,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
20,長野県,4,4,300,300,0,33,33,0,200,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
21,岐阜県,9,9,356,458,1,47,118,0,428,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
22,静岡県,2,2,200,400,0,20,20,0,155,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
23,愛知県,7,7,500,1500,0,28,400,0,1300,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
24,三重県,0,0,176,176,0,33,33,0,64,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
25,滋賀県,2,2,264,570,1,50,50,0,62,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
26,京都府,5,5,431,431,0,86,86,0,338,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
27,大阪府,55,52,1225,3000,14,188,300,0,1565,3,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
28,兵庫県,4,4,515,515,3,71,71,0,578,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
29,奈良県,1,1,422,500,0,23,25,0,108,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
30,和歌山県,0,0,150,160,0,32,32,0,137,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
32,島根県,1,1,253,253,1,30,46,0,45,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
33,岡山県,0,0,140,300,0,11,57,0,78,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
34,広島県,2,2,266,270,0,35,35,0,130,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
35,山口県,1,1,423,423,1,102,102,0,594,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
38,愛媛県,11,10,223,223,0,15,43,1,67,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
39,高知県,1,1,166,200,0,16,50,0,16,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
40,福岡県,131,97,490,1800,3,60,300,30,826,1,0,3,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
42,長崎県,0,0,307,903,0,21,29,0,6,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
43,熊本県,1,1,378,400,0,48,48,0,1430,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
44,大分県,1,1,258,300,0,35,35,0,65,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
46,鹿児島県,0,0,253,253,0,48,48,0,188,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
47,沖縄県,0,0,225,430,0,33,37,0,262,0,0,0,2020-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf,,,,,,,,,
01,北海道,116,95,700,1558,10,100,132,14,930,1,6,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
02,青森県,0,0,128,225,0,29,34,0,30,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
04,宮城県,5,4,388,400,0,57,60,0,200,0,0,1,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
06,山形県,1,1,150,150,1,16,16,0,188,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
07,福島県,2,2,229,800,0,15,20,0,300,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
08,茨城県,6,6,151,1000,1,30,50,0,34,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
09,栃木県,1,1,271,271,0,41,41,0,111,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
10,群馬県,3,3,170,280,0,23,50,0,150,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
11,埼玉県,20,20,602,602,4,60,60,0,1055,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
12,千葉県,24,20,819,1700,3,82,300,4,736,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
13,東京都,367,236,3300,4000,22,400,700,64,2865,35,0,32,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
14,神奈川県,72,56,2050,2800,13,172,300,10,2431,6,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
16,富山県,8,7,500,500,0,20,20,1,100,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
17,石川県,29,29,233,520,2,30,40,0,340,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
18,福井県,0,0,176,350,0,19,19,0,115,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
19,山梨県,2,2,80,400,0,13,50,0,21,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
20,長野県,1,1,300,300,0,33,33,0,200,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
21,岐阜県,10,10,357,458,2,47,118,0,466,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
22,静岡県,4,4,200,400,0,20,20,0,155,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
23,愛知県,8,7,500,1500,0,28,400,0,1300,1,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
24,三重県,0,0,176,176,0,33,33,0,64,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
25,滋賀県,1,1,264,570,1,50,50,0,62,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
26,京都府,5,5,431,431,0,86,86,0,338,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
27,大阪府,27,26,1225,1615,7,188,215,1,1565,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
28,兵庫県,3,3,515,515,0,71,71,0,578,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
29,奈良県,0,0,434,500,0,23,25,0,108,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
30,和歌山県,0,0,150,177,0,32,32,0,137,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
32,島根県,1,1,253,253,1,30,46,0,45,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
33,岡山県,0,0,140,300,0,11,57,0,78,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
34,広島県,0,0,266,270,0,35,35,0,130,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
35,山口県,1,1,423,423,1,102,102,0,594,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf,,,,,,,,,
